[INFO] [launch]: All log files can be found below /home/pi5drone/.ros/log/2026-08-02-21-05-06-974533-pi5drone-desktop-15325
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [submap_slam_2d_node-1]: process started with pid [15352]
[submap_slam_2d_node-1] [WARN] [1785680402.665859991] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680407.767286007] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680412.779965800] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680417.937975093] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680422.948997831] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680427.972993883] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680432.993272677] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680438.006061581] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680443.027128300] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680448.053026446] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680453.065218165] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680458.130305236] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680463.220784140] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680472.215013135] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680477.263731224] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680482.285946296] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680487.306852922] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680492.317199382] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680497.340217416] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680502.352178691] [submap_slam_2d]: Rejected scan: coarse_match_failed
